VehicleId,DOL Vehicle ID,VIN (1-10),2020 Census Tract,City,City URI,Postal Code,Model Year,Make,Make URI,Model,Model URI,Electric Vehicle Type,Electric Vehicle Type URI,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
VID_5YJ3E1EB5K_347724772,347724772,5YJ3E1EB5K,53077001502,Yakima,https://www.wikidata.org/wiki/Q499203,98901,2019,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,220
VID_1C4RJXU67R_272165288,272165288,1C4RJXU67R,53035092901,Port Orchard,https://www.wikidata.org/wiki/Q935482,98367,2024,Jeep,https://www.wikidata.org/wiki/Q30113,Jeep Wrangler,https://www.wikidata.org/wiki/Q1353305,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,21
VID_KNDCD3LD0N_203182584,203182584,KNDCD3LD0N,53061051402,Lynnwood,https://www.wikidata.org/wiki/Q852607,98036,2022,Kia,https://www.wikidata.org/wiki/Q35349,Kia Niro,https://www.wikidata.org/wiki/Q22754238,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,26
VID_5UXKT0C37H_349010287,349010287,5UXKT0C37H,53033029806,Auburn,https://www.wikidata.org/wiki/Q661595,98001,2017,BMW,https://www.wikidata.org/wiki/Q26678,BMW X5,https://www.wikidata.org/wiki/Q796778,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,14
VID_1N4AZ0CP1D_131684150,131684150,1N4AZ0CP1D,53057952304,Mount Vernon,https://www.wikidata.org/wiki/Q866311,98273,2013,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,75
VID_1N4BZ0CP8G_256278109,256278109,1N4BZ0CP8G,53061052710,Marysville,https://www.wikidata.org/wiki/Q970001,98270,2016,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,84
VID_5YJSA1E26G_338404888,338404888,5YJSA1E26G,53007960400,Manson,https://www.wikidata.org/wiki/Q5991830,98831,2016,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,210
VID_7SAYGDEE7P_241608608,241608608,7SAYGDEE7P,53061051917,Bothell,https://www.wikidata.org/wiki/Q303046,98021,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_1N4AZ0CP5F_173391158,173391158,1N4AZ0CP5F,53061050502,Edmonds,https://www.wikidata.org/wiki/Q1055845,98020,2015,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,84
VID_WP1AE2A26G_176239570,176239570,WP1AE2A26G,53061041704,Everett,https://www.wikidata.org/wiki/Q392599,98208,2016,Porsche,https://www.wikidata.org/wiki/Q40993,Porsche Cayenne,https://www.wikidata.org/wiki/Q337148,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,14
VID_5YJSA1E45K_272614065,272614065,5YJSA1E45K,53035092300,Port Orchard,https://www.wikidata.org/wiki/Q935482,98366,2019,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,270
VID_5UXTA6C09M_138597924,138597924,5UXTA6C09M,53061052203,Monroe,https://www.wikidata.org/wiki/Q1055861,98272,2021,BMW,https://www.wikidata.org/wiki/Q26678,BMW X5,https://www.wikidata.org/wiki/Q796778,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,30
VID_1G1FX6S06H_321043404,321043404,1G1FX6S06H,53061052119,Everett,https://www.wikidata.org/wiki/Q392599,98208,2017,Chevrolet,https://www.wikidata.org/wiki/Q29570,Chevrolet Bolt,https://www.wikidata.org/wiki/Q19580435,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,238
VID_5YJ3E1EB9K_240744927,240744927,5YJ3E1EB9K,53077001602,Yakima,https://www.wikidata.org/wiki/Q499203,98901,2019,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,220
VID_LPSED3KA9M_177987680,177987680,LPSED3KA9M,53061052007,Bothell,https://www.wikidata.org/wiki/Q303046,98012,2021,Polestar,https://www.wikidata.org/wiki/Q4047174,Polestar 2,https://www.wikidata.org/wiki/Q60965166,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,233
VID_KNDCC3LG1L_115041930,115041930,KNDCC3LG1L,53061042003,Edmonds,https://www.wikidata.org/wiki/Q1055845,98026,2020,Kia,https://www.wikidata.org/wiki/Q35349,Kia Niro EV,https://www.wikidata.org/wiki/Q62098509,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,239
VID_1N4AZ1CP1J_326278200,326278200,1N4AZ1CP1J,53063004702,Spokane,https://www.wikidata.org/wiki/Q187805,99223,2018,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,151
VID_1N4AZ0CP7D_185323862,185323862,1N4AZ0CP7D,53061052502,Snohomish,https://www.wikidata.org/wiki/Q1505974,98290,2013,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,75
VID_JN1BF0BA6P_261308225,261308225,JN1BF0BA6P,53061041809,Everett,https://www.wikidata.org/wiki/Q392599,98204,2023,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Ariya,https://www.wikidata.org/wiki/Q86674790,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_JHMZC5F35J_180431870,180431870,JHMZC5F35J,53061041202,Everett,https://www.wikidata.org/wiki/Q392599,98203,2018,Honda,https://www.wikidata.org/wiki/Q9584,Honda FCX Clarity,https://www.wikidata.org/wiki/Q1424582,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,47
VID_KNDCS3LF4R_258938088,258938088,KNDCS3LF4R,53057940302,Anacortes,https://www.wikidata.org/wiki/Q483595,98221,2024,Kia,https://www.wikidata.org/wiki/Q35349,Kia Niro,https://www.wikidata.org/wiki/Q22754238,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,33
VID_7SAYGDEE4P_261279630,261279630,7SAYGDEE4P,53061051933,Bothell,https://www.wikidata.org/wiki/Q303046,98012,2023,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model Y,https://www.wikidata.org/wiki/Q42298250,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJ3E1ETXR_268212612,268212612,5YJ3E1ETXR,53077001702,Yakima,https://www.wikidata.org/wiki/Q499203,98901,2024,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJ3E1EB8K_251048017,251048017,5YJ3E1EB8K,53035080500,Bremerton,https://www.wikidata.org/wiki/Q695417,98337,2019,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,220
VID_5YJ3E1EB3K_312503502,312503502,5YJ3E1EB3K,51059432000,Burke,https://www.wikidata.org/wiki/Q27988917,22015,2019,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,220
VID_5YJ3E1EA0S_275181903,275181903,5YJ3E1EA0S,53067012331,Olympia,https://www.wikidata.org/wiki/Q42735,98513,2025,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJ3E1EB5L_237967131,237967131,5YJ3E1EB5L,53077001602,Yakima,https://www.wikidata.org/wiki/Q499203,98901,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,322
VID_5YJ3E1EB5L_4741971,4741971,5YJ3E1EB5L,53061051917,Bothell,https://www.wikidata.org/wiki/Q303046,98021,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,322
VID_5YJ3E1EB6J_203436691,203436691,5YJ3E1EB6J,53061041607,Everett,https://www.wikidata.org/wiki/Q392599,98208,2018,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,215
VID_WBY7Z2C52J_180885561,180885561,WBY7Z2C52J,53067010520,Olympia,https://www.wikidata.org/wiki/Q42735,98502,2018,BMW,https://www.wikidata.org/wiki/Q26678,BMW i3,https://www.wikidata.org/wiki/Q796785,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,114
VID_1N4AZ0CP5D_201803941,201803941,1N4AZ0CP5D,53007960600,Cashmere,https://www.wikidata.org/wiki/Q1207471,98815,2013,Nissan Motor Co. Ltd.,https://www.wikidata.org/wiki/Q20165,Nissan Leaf,https://www.wikidata.org/wiki/Q911323,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,75
VID_5YJ3E1EB3L_122599004,122599004,5YJ3E1EB3L,53067011623,Olympia,https://www.wikidata.org/wiki/Q42735,98513,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,322
